generic_name,drug_category
0.9 % SODIUM CHLORIDE,Other/Supportive Care
AA 3.31 %/D9.8W/FAT/E-LYTES 10,Other/Supportive Care
AA 4.25 %/CALCIUM/LYTES/D25W,Other/Supportive Care
AA 4.25 %/CALCIUM/LYTES/D5W,Other/Supportive Care
AA 5 %/CALCIUM/LYTES/DEXT 20 %,Other/Supportive Care
AA 5%/D15W/ELECTROLYTES,Other/Supportive Care
ABACAVIR SULFATE,Other/Supportive Care
ABACAVIR SULFATE/LAMIVUDINE,Other/Supportive Care
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,Other/Supportive Care
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,Other/Supportive Care
ABALOPARATIDE,Other/Supportive Care
ABATACEPT,Immunosuppressants/Biologics
ABATACEPT/MALTOSE,Immunosuppressants/Biologics
ABEMACICLIB,Other/Supportive Care
ABIRATERONE ACETATE,Other/Supportive Care
ABOBOTULINUMTOXINA,Other/Supportive Care
ACALABRUTINIB,Other/Supportive Care
ACAMPROSATE CALCIUM,Other/Supportive Care
ACARBOSE,Endocrine/Metabolic
ACEBUTOLOL HCL,Other/Supportive Care
ACETAMINOPHEN WITH CODEINE,Pain/Analgesics/Antiinflammatory
ACETAMINOPHEN/CAFF/DIHYDROCOD,Pain/Analgesics/Antiinflammatory
ACETAZOLAMIDE,Other/Supportive Care
ACETAZOLAMIDE SODIUM,Other/Supportive Care
ACETIC ACID,Other/Supportive Care
ACETIC ACID/ALUMINUM ACETATE,Other/Supportive Care
ACETOHYDROXAMIC ACID,Other/Supportive Care
ACETYLCYSTEINE,Other/Supportive Care
ACITRETIN,Dermatological
ACLIDINIUM BROMIDE,Other/Supportive Care
ACYCLOVIR,Antibiotics/Antiinfectives
ACYCLOVIR SODIUM,Antibiotics/Antiinfectives
ACYCLOVIR/HYDROCORTISONE,Antibiotics/Antiinfectives
ADALIMUMAB,Immunosuppressants/Biologics
ADAPALENE,Dermatological
ADAPALENE/BENZOYL PEROXIDE,Dermatological
ADEFOVIR DIPIVOXIL,Other/Supportive Care
ADO-TRASTUZUMAB EMTANSINE,Oncology
AFATINIB DIMALEATE,Other/Supportive Care
AFLIBERCEPT,Other/Supportive Care
AGALSIDASE BETA,Other/Supportive Care
ALBENDAZOLE,Other/Supportive Care
ALBIGLUTIDE,Other/Supportive Care
ALBUMIN HUMAN,Immunosuppressants/Biologics
ALBUTEROL SULFATE,Respiratory/Pulmonary
ALCAFTADINE,Other/Supportive Care
ALCLOMETASONE DIPROPIONATE,Other/Supportive Care
ALCOHOL ANTISEPTIC PADS,Other/Supportive Care
ALDESLEUKIN,Other/Supportive Care
ALECTINIB HCL,Other/Supportive Care
ALEMTUZUMAB,Other/Supportive Care
ALENDRONATE SODIUM,Other/Supportive Care
ALENDRONATE SODIUM/VITAMIN D3,Other/Supportive Care
ALFUZOSIN HCL,Other/Supportive Care
ALGLUCOSIDASE ALFA,Other/Supportive Care
ALIROCUMAB,Other/Supportive Care
ALISKIREN HEMIFUMARATE,Other/Supportive Care
ALISKIREN/HYDROCHLOROTHIAZIDE,Cardiovascular
ALITRETINOIN,Dermatological
ALLOPURINOL,Other/Supportive Care
ALMOTRIPTAN MALATE,Other/Supportive Care
ALOGLIPTIN BENZ/METFORMIN HCL,Endocrine/Metabolic
ALOGLIPTIN BENZ/PIOGLITAZONE,Endocrine/Metabolic
ALOGLIPTIN BENZOATE,Other/Supportive Care
ALOSETRON HCL,Other/Supportive Care
ALPHA-1-PROTEINASE INHIBITOR,Other/Supportive Care
ALPRAZOLAM,Neurological/Neuropsychiatric
ALPROSTADIL,Other/Supportive Care
ALTRETAMINE,Other/Supportive Care
AMANTADINE HCL,Other/Supportive Care
AMBRISENTAN,Other/Supportive Care
AMCINONIDE,Other/Supportive Care
AMIKACIN SULFATE,Other/Supportive Care
AMILORIDE HCL,Other/Supportive Care
AMILORIDE/HYDROCHLOROTHIAZIDE,Cardiovascular
AMINO ACID 4.25 %/DEXTROSE 25%,Other/Supportive Care
AMINO ACIDS 5 %/DEXTROSE 15 %,Other/Supportive Care
AMINO ACIDS 5 %/DEXTROSE 25 %,Other/Supportive Care
AMINOCAPROIC ACID,Other/Supportive Care
AMINOLEVULINIC ACID HCL,Other/Supportive Care
AMINOPHYLLINE,Other/Supportive Care
AMINOSALICYLIC ACID,Dermatological
AMIODARONE HCL,Other/Supportive Care
AMITRIPTYLINE HCL,Neurological/Neuropsychiatric
AMITRIPTYLINE/CHLORDIAZEPOXIDE,Neurological/Neuropsychiatric
AMLODIPINE BES/OLMESARTAN MED,Cardiovascular
AMLODIPINE BESYLATE,Cardiovascular
AMLODIPINE BESYLATE/BENAZEPRIL,Cardiovascular
AMLODIPINE BESYLATE/VALSARTAN,Cardiovascular
AMLODIPINE/ATORVASTATIN,Cardiovascular
AMLODIPINE/VALSARTAN/HCTHIAZID,Cardiovascular
AMMONIUM LACTATE,Other/Supportive Care
AMOXAPINE,Other/Supportive Care
AMOXICILLIN,Other/Supportive Care
AMOXICILLIN/POTASSIUM CLAV,Other/Supportive Care
AMPHETAMINE,Other/Supportive Care
AMPHETAMINE SULFATE,Other/Supportive Care
AMPHOTERICIN B,Other/Supportive Care
AMPHOTERICIN B LIPID COMPLEX,Other/Supportive Care
AMPHOTERICIN B LIPOSOME,Other/Supportive Care
AMPICILLIN SODIUM,Antibiotics/Antiinfectives
AMPICILLIN SODIUM/SULBACTAM NA,Antibiotics/Antiinfectives
AMPICILLIN TRIHYDRATE,Antibiotics/Antiinfectives
ANAGRELIDE HCL,Other/Supportive Care
ANAKINRA,Immunosuppressants/Biologics
ANASTROZOLE,Other/Supportive Care
ANIDULAFUNGIN,Other/Supportive Care
ANTHRALIN,Other/Supportive Care
APIXABAN,Other/Supportive Care
APOMORPHINE HCL,Pain/Analgesics/Antiinflammatory
APRACLONIDINE HCL,Other/Supportive Care
APREMILAST,Other/Supportive Care
APREPITANT,Other/Supportive Care
ARFORMOTEROL TARTRATE,Respiratory/Pulmonary
ARIPIPRAZOLE,Neurological/Neuropsychiatric
ARIPIPRAZOLE LAUROXIL,Neurological/Neuropsychiatric
ARMODAFINIL,Other/Supportive Care
ARTEMETHER/LUMEFANTRINE,Other/Supportive Care
ASENAPINE MALEATE,Other/Supportive Care
